book_id,chap_num,recp_num,para_num,para_str
9935,1,1.0,0,doubt problem race food order person life body body amount energy day work material growth repair power requirements body nothing place food kind kind kind food scheme life child grows increases weight adult enough nourishment nerve force power person life food body power tissues building material truth facts principles order selection food value economy selection preparation use care
9935,1,2.0,0,principles cooking food refers preparation food materials action heat cooking food science art success principles sense cookery ability recipe dish ability materials knowledge ways understanding value persons ingenuity foods use food meals waste cookery phases subject woman pleasure food members family work
9935,1,3.0,0,providing food home matter lot housewife fact wise use family income woman livelihood part person income instance father husband money needs food clothing shelter question food housewife meals day matter thought meals amount money food family income cost allotment extent cost foods care use money thought planning assistance foods ways
9935,1,4.0,0,factor problem food housewife distinction waste refuse terms thing difference food something whereas something use example fat meat waste parings food refuse
9935,1,4.0,1,connection problem waste leakage household causes one lack knowledge part housekeeper difference waste refuse failure market illustration housewives turkey price pound chicken cents pound reality chicken cents pound price turkey turkey proportion meat bone chicken material chicken refuse proportion material cause leakage household waste preparation food table selection cooking method lack skill cooking cause serving quantities waste food plates use home
9935,1,5.0,0,matter housewife day meals meals idea variety overs woman food reasons health sake appetite degree course appearance food housewife foods foundation variety lessons food drink something physician person matter work order ideas ways foods foodstuffs hand time preparation meals one meals kitchen time thing manner meals interest day bill fare
9935,1,6.0,0,practice cookery meals cooking sake body woman future welfare persons foods things cookery interest branch science study source enjoyment opportunity knowledge skill others
9935,1,6.0,1,fact people something way food offers housewife chance ingenuity line season foods enjoyment nourishment satisfaction family surprise form dish way pleasure touch meal delight one food cookery way art something making dish planning meal
9935,1,7.0,0,knowledge cookery importance food others persons housewife cookery problems day day girls women duties management household affairs lessons cookery
9935,1,7.0,1,beginning course study cookery attention order subject matter progress lessons instruction essentials fundamentals food selection preparation foundation advances step step matters details beginner work cookery attention preliminaries groundwork cooking food depends knowledge cookery phases
9935,1,8.0,0,beginner cookery lesson order detail lesson instruction relation subject practice progress applies emphasis relating essentials cookery connection books reference aid points part woman cookery knowledge studies directions beginner cooking foods matter delight practice things
9935,3,9.0,0,phases cookery importance success art attention selection value suitability selection housewife food material purchases needs persons amount labor preparation proportion results loss preparation proportion refuse matter cost loss cooking food advantage market price factor limits amount time kind nourishment member family
9935,3,10.0,0,order food material requirements forth matters substances measure energy material food fuel value digestion absorption understood cost article food price times
9935,3,10.0,1,study matters food food body body tissues work exercise addition supply heat temperature energy work material things food anything body tissues energy work
9935,4,11.0,0,food anything engine tissue use living working foods materials construction steam engine production power food substances ones choice buyer food consists aid selection food substances constituents principles foods water matter ash protein fat carbohydrate knowledge cooking methods effect heat substances food course flavor cook dishes effect heat food constituents success economy digestibility facts food principles effect heat foods
9935,4,12.0,0,constituents body water occurs quantity food substance feature person diet chief purpose liquids body digestion food nature amounts water foods quantities diet beverage fact need body water development beverages body condition water function cooking food substance life selection food foods water
9935,4,13.0,0,water quantity body matter constituent ash salts part body framework skeleton building maintaining body salts purposes rigidity permanence skeleton element tissue alkalinity acidity juices secretions
9935,4,13.0,1,origin distribution substances interest plants growth seize earth salts minerals substances living tissue beings living creatures supply salts plants food form salts salts process water result waste instance use water vegetables water matter quantities body food fact material form foods housewife stopping presence
9935,4,14.0,0,food substance protein factor growth repair body fact processes protein diet quantity protein amount body use waste material sources protein meat eggs milk grains nuts legumes foods beans peas ease meat fish eggs milk sources protein bread beans nuts foods proteins cost others diet amount money foods
9935,4,15.0,0,cooking foods protein effect heat foods cooking food food digestion foods characteristics structure texture digestibility method degree cooking characteristics digestibility food case foods protein cooking application heat protein heat substance heat increases shrinks fact cooking egg type protein albumin egg albumin heat egg shrinks egg heat albumin tender yolk mealy texture
9935,4,15.0,1,results sight right way foods protein milk ingredient protein casein curd cheese fact cottage cheese degree curd texture product smooth tender
9935,4,16.0,0,food substances water matter yield materials building tissues body body foods energy power part solids food body purpose fats percentage fats proportion food supply body composition extent food substances fats food animal origin lard suet butter cream oil oil oil cooking temperatures effect fat temperatures substances tract
9935,4,17.0,0,carbohydrates fats food substances term body energy fats carbohydrates forms energy form latter form
9935,4,17.0,1,term carbohydrate mind composition body food course lesson cookery attention need matter lesson dietetics branch hygiene treats person food table fact body food number elements nitrogen carbon hydrogen oxygen form part importance fact food substances element nitrogen formation plant tissue elements carbon hydrogen oxygen carbohydrates fact names elements term carbohydrate carbohydrates starches sugars forms elements hydrogen oxygen proportion water name parts carbo carbon hydrogen oxygen proportion parts hydrogen oxygen form water carbohydrate water facts food economy interest term carbohydrate correct name food substance
9935,4,18.0,0,forms carbohydrates kingdom quantities grains potatoes fact vegetables amounts plant form granules plant cells
9935,4,18.0,1,changes form heat granules mass heat changes form step changing starch sugar
9935,4,19.0,0,form carbohydrate origin milk lactose fat milk child energy variety foods sap plants contains quantities sugar form liquid food molasses sugar amounts fruits form body sugar fruit sugar starch corn glucose carbohydrate vegetables tender vegetables form sugar vegetables changes
9935,4,19.0,1,sugar melts application heat condition sirup molasses water water sugar flavor cooking color taste sugar fruits vegetables solution course water
9935,4,20.0,0,form carbohydrate starch structure plants vegetables cellulose bulk food attention cooking material origin material juices vegetables starch cellulose tree sapling accounts fact cooking vegetables cooking others method time presence consistency cellulose food
9935,4,21.0,0,food substances person diet exception milk food yields amounts material tissue building repair heat energy milk proportion food substances babies children body foods food substances food selection characteristics food substances fats proteins carbohydrates fats amounts half food value salts heat tissue body condition addition diet food substances proportion individual body repair energy proportion quantity kind food substances size age activity person
9935,5,22.0,0,foods substances value work food body tissue builder producer energy food value person food sight fact appetite variety foods economy advantage food
9935,5,22.0,1,foods body energy quantity ones purpose person quantity time instance vegetables body amount energy exclusion things person day amount body energy day work hand foods material purpose energy meats example body person diet meat body energy foods mineral salts building tissue body condition
9935,5,23.0,0,appreciation value foods unit amount work foods body unit calory foods inch yard pound pint quart units materials liquids food food value fuel value instance ounce sugar ounce butter weight foods regard work body value body unit heat oxygen way quantity heat oxygen process liberation heat calorie unit heat quantity heat temperature pint water degrees name thermometer home fuel square butter ounce produces heat pint water degrees amount heat process oxidation body hand ounce sugar heat temperature pint water degrees ounce butter value calories whereas ounce sugar contains calories
