book_id,sect_num,para_num,para_str
25007,1,1,Produced by the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive/American Libraries.)
25007,4,1,"+------------------------------------------------------------+ | Transcriber's Note:                                        | |                                                            | | Obvious typographical errors have been corrected in        | | this text. For a complete list, please see the bottom of   | | this document.                                             | +------------------------------------------------------------+"
25007,4,2,FIFTY SOUPS
25007,4,3,BY
25007,4,4,"THOMAS J. MURREY,"
25007,4,5,"_Formerly professional caterer of the Continental Hotel, Philadelphia, Astor House, New York, and other leading hotels. Author of ""Salads and Sauces,"" ""Valuable Cooking Recipes,"" etc._"
25007,4,6,_EIGHTH EDITION_
25007,4,7,[Illustration]
25007,4,8,NEW YORK FREDERICK A. STOKES COMPANY PUBLISHERS
25007,4,9,"COPYRIGHT, 1884 BY WHITE, STOKES, & ALLEN."
25007,5,1,CONTENTS.
25007,5,2,"REMARKS ON SOUPS,                              7"
25007,5,3,"ARTICHOKE SOUP,                               12"
25007,5,4,"ASPARAGUS SOUP,                               12"
25007,5,5,"BARLEY SOUP,                                  12"
25007,5,6,"BEANS, PUREE OF,                              33"
25007,5,7,"BEEF STOCK,                                    9"
25007,5,8,"BEEF TEA,                                     13"
25007,5,9,"BOUILLE-ABAISSE,                              15"
25007,5,10,"CAULIFLOWER SOUP,                             16"
25007,5,11,"CELERY, CREAM OF,                             20"
25007,5,12,"CHESTNUT SOUP,                                16"
25007,5,13,"CHICKEN BROTH,                                17"
25007,5,14,"CHICKEN SOUP,                                 17"
25007,5,15,"CHICKEN SOUP, NO. 2,                          18"
25007,5,16,"CLAM BROTH,                                   18"
25007,5,17,"CLAM CHOWDER,                                 19"
25007,5,18,"CLAM, PUREE OF,                               33"
25007,5,19,"CONSOMME,                                     20"
25007,5,20,"CONSOMME COLBERT,                             20"
25007,5,21,"CRAB, BISQUE OF,                              13"
25007,5,22,"CREAM SOUP,                                   21"
25007,5,23,"CROUTONS FOR SOUP,                            11"
25007,5,24,"FISH CHOWDER,                                 22"
25007,5,25,"GERMAN SOUP,                                  23"
25007,5,26,"GIBLET SOUP,                                  23"
25007,5,27,"GLAZE FOR SOUP,                               11"
25007,5,28,"GREEN TURTLE SOUP,                            23"
25007,5,29,"GUMBO SOUP,                                   26"
25007,5,30,"JULIENNE SOUP,                                26"
25007,5,31,"LENTIL SOUP,                                  27"
25007,5,32,"LIEBIG'S SOUP,                                27"
25007,5,33,"LOBSTER, BISQUE OF,                           14"
25007,5,34,"MACARONI SOUP,                                27"
25007,5,35,"MARROW DUMPLINGS,                             11"
25007,5,36,"MOCK TURTLE SOUP,                             28"
25007,5,37,"MULLIGATAWNY SOUP,                            29"
25007,5,38,"MUTTON BROTH,                                 29"
25007,5,39,"ONION SOUP,                                   30"
25007,5,40,"OXTAIL SOUP,                                  30"
25007,5,41,"OYSTER SOUP,                                  31"
25007,5,42,"PEA SOUP,                                     31"
25007,5,43,"PEA SOUP, ECONOMICAL,                         32"
25007,5,44,"POTATO SOUP,                                  33"
25007,5,45,"RABBIT SOUP,                                  34"
25007,5,46,"RICE, CREAM OF,                               21"
25007,5,47,"SCOTCH BROTH,                                 35"
25007,5,48,"SOUP STOCK,                                    8"
25007,5,49,"SORREL SOUP,                                  35"
25007,5,50,"SPRING SOUP,                                  36"
25007,5,51,"TOMATO SOUP,                                  36"
25007,5,52,"TURKEY SOUP,                                  37"
25007,5,53,"VEAL STOCK,                                   10"
25007,5,54,"VEGETABLE SOUP,                               37"
25007,5,55,"VERMICELLI SOUP,                              37"
25007,6,1,REMARKS ON SOUPS.
25007,6,2,"Soups, like salads, present an excellent opportunity for the cook to display good taste and judgment."
25007,6,3,"The great difficulty lies in selecting the most appropriate soup for each particular occasion; it would be well to first select your bill of fare, after which decide upon the soup."
25007,6,4,"The season, and force of circumstances, may compel you to decide upon a heavy fish, such as salmon, trout, or other oleaginous fishes, and heavy joints and entrées."
25007,6,5,"Under these circumstances it must necessarily follow that a light soup should begin the dinner, and _vice versa_; for large parties, one light and one heavy soup is always in order."
25007,6,6,"There is as much art in arranging a bill of fare and harmonizing the peculiarities of the various dishes, as there is in preparing the colors for a painting; the soup represents the pivot upon which harmony depends."
25007,6,7,"Soups may be divided into four classes: clear, thick, purées or bisques, and chowders. A purée is made by rubbing the cooked ingredients through a fine sieve; an ordinary thick soup is made by adding various thickening ingredients to the soup stock; clear soups are, properly speaking, the juices of meats, served in a convenient and appetizing form."
25007,6,8,"Chowders are quite distinct from the foregoing, being compounds of an infinite variety of fish, flesh, fowl, or vegetables, in proportions to suit the fluctuating ideas of the cook; the object sought is to prepare a thick, highly seasoned compound, without reducing the ingredients to the consistency of a purée."
25007,6,9,*     *     *     *     *
